Newspaper,Heading,Date,Time,URL
Hindiustan Times,Sonam Kapoor with husband Anand Ahuja at GQ 100 Best Dressed 2019,2019-06-02,13:55:00,https://www.hindustantimes.com/videos/entertainment/sonam-kapoor-with-husband-anand-ahuja-at-gq-100-best-dressed-2019/video-S7frWI6yR3BOlnAAXr0DUN.html
Hindiustan Times,Saif Ali Khan and Kareena Kapoor leave for London with son Taimur,2019-05-31,13:46:00,https://www.hindustantimes.com/videos/entertainment/saif-ali-khan-and-kareena-kapoor-leave-for-london-with-son-taimur/video-TLEnyHw2B6jNt9IeZphUjO.html
Hindiustan Times,Bollywood stars attend prayer meet of Ajay Devgn’s father,2019-05-31,12:18:00,https://www.hindustantimes.com/videos/entertainment/bollywood-stars-attend-prayer-meet-of-ajay-devgn-s-father/video-9CPAeYIQM8nTsFwyCjBJtL.html
Hindiustan Times,"Kangana, Hema Malini fly to Delhi for PM Modi’s swearing-in ceremony",2019-05-30,17:26:00,https://www.hindustantimes.com/videos/entertainment/kangana-hema-malini-fly-to-delhi-for-pm-modi-s-swearing-in-ceremony/video-zzQPgkFZGSqt0xSmdmZlYO.html
Hindiustan Times,"Actor Dinyar Contractor, known for his roles in films like Baadshah and Khiladi, dies at 79",2019-06-05,12:29:00,https://www.hindustantimes.com/bollywood/actor-dinyar-contractor-known-for-his-roles-in-films-like-baadshah-and-khiladi-dies-at-79/story-JP0MqWmh0l4YlxFRvonuQJ.html
Hindiustan Times,"Mira Rajput’s son Zain pinches sister Misha as she helps him play with a flower, see pics",2019-06-05,11:48:00,https://www.hindustantimes.com/bollywood/mira-rajput-s-son-zain-pinches-sister-misha-as-she-helps-him-play-with-a-flower-see-pics/story-PQ7Myp8POHUjL12kllmP8K.html
Hindiustan Times,Katrina Kaif reveals she had one condition before signing Bharat. Details inside,2019-06-05,11:39:00,https://www.hindustantimes.com/bollywood/katrina-kaif-reveals-she-had-one-condition-before-signing-bharat-details-inside/story-5Bfl55LEqEDtgPmo9PVsyH.html
Hindiustan Times,"Sara Ali Khan twins with mom Amrita in green apron, says ‘Eid Mubarak’. See pic",2019-06-05,10:53:00,https://www.hindustantimes.com/bollywood/sara-ali-khan-twins-with-mom-amrita-in-green-apron-says-eid-mubarak-see-pic/story-VjzuxAOrvEyB902nvTqa8H.html
Hindiustan Times,"Tiger Shroff, Abhishek Bachchan and other Bollywood celebs impressed with Hrithik Roshan’s Super 30 trailer",2019-06-05,10:55:00,https://www.hindustantimes.com/bollywood/tiger-shroff-abhishek-bachchan-and-other-bollywood-celebs-impressed-with-hrithik-roshan-s-super-30-trailer/story-FNccU2TOUeRv4tml7lLGzI.html
Hindiustan Times,"Black Mirror season 5 review: Twisted and terrifying, Netflix’s feel-bad show returns for another round",2019-06-05,10:16:00,https://www.hindustantimes.com/tv/black-mirror-season-5-review-twisted-and-terrifying-netflix-s-feel-bad-show-returns-for-another-round/story-XcFRPdhuiXXi9axFOsWO1L.html
Hindiustan Times,"New James Bond film’s set rocked by an explosion, one crew member injured",2019-06-05,10:09:00,https://www.hindustantimes.com/hollywood/new-james-bond-film-rocked-by-an-explosion-one-crew-member-injured/story-ZfMmMR7Qv7OFMUIiX43eqK.html
Hindiustan Times,"Deepika Padukone wraps up ‘most precious film’ of her career, Chhapaak and Ranveer Singh can’t wait for the magic. See pic",2019-06-05,10:08:00,https://www.hindustantimes.com/bollywood/deepika-padukone-wraps-up-most-precious-film-of-her-career-chhapaak-and-ranveer-singh-can-t-wait-for-the-magic-see-pic/story-f4HUr1tnjJlXkbWYYguKDN.html
Hindiustan Times,"Priyanka Chopra praises Nick Jonas, says it’s ‘incredible how your bond is as a family’ at Chasing Happiness launch, see pics",2019-06-05,09:26:00,https://www.hindustantimes.com/bollywood/priyanka-chopra-praises-nick-jonas-says-it-s-incredible-how-your-bond-is-as-a-family-at-chasing-happiness-launch-see-pics/story-L00ZJ8nFTO5xutrc1qPZBJ.html
Hindiustan Times,"Bharat celeb review: Salman Khan, Katrina Kaif film is labelled ‘paisa Vasool blockbuster’, see pics",2019-06-05,09:37:00,https://www.hindustantimes.com/bollywood/bharat-celeb-review-salman-khan-katrina-kaif-film-is-labelled-paisa-vasool-blockbuster-see-pics/story-tJ8sNOA0YwQPWvVCeAgg1H.html
Hindiustan Times,"Salman Khan, Katrina Kaif’s Bharat premieres ahead of Eid, Tabu, Sonali Kulkarni walk the red carpet. See pics",2019-06-04,21:47:00,https://www.hindustantimes.com/bollywood/salman-khan-katrina-kaif-s-bharat-premieres-ahead-of-eid-tabu-sonali-kulkarni-walk-the-red-carpet-see-pics/story-T3H5QSTBBl1qdgxYq79hVP.html
Hindiustan Times,"Mohanlal’s Lucifer storms into Rs 200 crore club, first for Malayalam cinema",2019-06-04,20:46:00,https://www.hindustantimes.com/regional-movies/mohanlal-s-lucifer-storms-into-rs-200-crore-club-first-for-malayalam-cinema/story-vTm7JXaAdz0FWFTllE4n2I.html
Hindiustan Times,Medically Yourrs review: This engrossing drama treats MBBS jitters with love ,2019-06-05,09:33:00,https://www.hindustantimes.com/tv/medically-yours-review-this-engrossing-drama-treats-mbbs-jitters-with-love/story-hgS4vjz6tz0ul5jU0CPwvM.html
Hindiustan Times,"Kajol posts heartfelt tribute for father-in-law Veeru Devgan, says ‘RIP with love’",2019-06-04,19:42:00,https://www.hindustantimes.com/bollywood/kajol-posts-heartfelt-tribute-for-father-in-law-veeru-devgan-says-rip-with-love/story-Ngf4D2l3t5jTEaQYvEH57J.html
Hindiustan Times,"Neena Gupta celebrates 60th birthday with daughter Masaba, Soni Razdan posts a heartfelt wish for her ‘pyari dost’ ",2019-06-04,19:43:00,https://www.hindustantimes.com/bollywood/neena-gupta-celebrates-60th-birthday-with-daughter-masaba-soni-razdan-posts-a-heartfelt-wish-for-her-pyari-dost/story-rB8M2Z6yZbYqgqbzkEdIxH.html
Hindiustan Times,"Vicky Kaushal, Janhvi Kapoor, Ishaan Khatter attend Russell Peters’ show; Malaika Arora, Mira Rajput hit the gym",2019-06-04,19:16:00,https://www.hindustantimes.com/bollywood/vicky-kaushal-janhvi-kapoor-ishaan-khatter-attend-russell-peters-show-malaika-arora-mira-rajput-hit-the-gym/story-l2kKs8abmymEmUjQFJsYJN.html
Hindiustan Times,"As Hrithik Roshan’s Super 30 trailer gives way to hilarious memes, Twitter plays on Indian elections, nepotism",2019-06-04,18:08:00,https://www.hindustantimes.com/bollywood/as-hrithik-roshan-s-super-30-trailer-gives-way-to-hilarious-memes-twitter-plays-on-indian-elections-nepotism/story-XPOfMe7aLdB3uUaegXb3HO.html
Hindiustan Times,"Jackie Shroff on Salman Khan: ‘I used to carry his photos in my pocket, ask producers to cast him’",2019-06-04,17:35:00,https://www.hindustantimes.com/bollywood/jackie-shroff-on-salman-khan-i-used-to-carry-his-photos-in-my-pocket-ask-producers-to-cast-him/story-zVDEstKoH9Q17On5cqgX3O.html
Hindiustan Times,Shraddha Kapoor shares happy picture with Varun Dhawan from sets of Street Dancer 3D,2019-06-04,16:32:00,https://www.hindustantimes.com/bollywood/shraddha-kapoor-shares-happy-picture-with-varun-dhawan-from-sets-of-street-dancer-3d/story-3JgH78gxyGE9UmItWWfN4M.html
Hindiustan Times,"Kevin Spacey appears in court, lawyer says ‘he is suffering every day that this goes on’",2019-06-04,15:44:00,https://www.hindustantimes.com/hollywood/kevin-spacey-appears-in-court-lawyer-says-he-is-suffering-every-day-that-this-goes-on/story-XQzN4LOaQLUdYtErZpMpVP.html
Hindiustan Times,Taapsee Pannu reacts to Vikas Bahl getting a clean chit: ‘That should not stop other girls from raising their voices’,2019-06-04,15:05:00,https://www.hindustantimes.com/bollywood/taapsee-pannu-reacts-to-vikas-bahl-getting-a-clean-chit-that-should-not-stop-other-girls-from-raising-their-voices/story-po3PkJkgzAsr74Gbtbp0XK.html
Hindiustan Times,"Super 30 trailer: Hrithik Roshan slaps on some tanning lotion, young actors bring in emotion",2019-06-04,16:42:00,https://www.hindustantimes.com/bollywood/super-30-trailer-hrithik-roshan-puts-on-some-tanning-lotion-young-actors-bring-in-emotion/story-brWefeN2xgrVqHD6AD7eJL.html
Hindiustan Times,The Extraordinary Journey Of The Fakir trailer: Dhanush embarks on a crazy journey to Paris via a twisted route,2019-06-04,17:35:00,https://www.hindustantimes.com/entertainment/the-extraordinary-journey-of-the-fakir-trailer-dhanush-embarks-on-a-crazy-journey-to-paris-via-a-twisted-route/story-nDSeC5oPs5DTrHh2dKSRVJ.html
Hindiustan Times,"Salman Khan says Priyanka Chopra quit Bharat to get married knowing it might make him angry, which is a ‘gutsy thing to do’",2019-06-04,16:56:00,https://www.hindustantimes.com/bollywood/salman-khan-says-priyanka-chopra-quit-bharat-to-get-married-knowing-it-might-make-him-angry-which-is-a-gutsy-thing-to-do/story-raNk5PxrWG9uiKyG8ojaAK.html
Hindiustan Times,K-Pop band VAV: Want to work with Aamir Khan ever since we saw 3 Idiots ,2019-06-04,13:22:00,https://www.hindustantimes.com/music/k-pop-band-vav-want-to-work-with-aamir-khan-ever-since-we-saw-3-idiots/story-j4oN1oV34b6HuHMX9cB6RO.html
Hindiustan Times,Akshay Kumar zooms through the streets of Bangkok as he shoots for Rohit Shetty’s Sooryavanshi,2019-06-04,12:46:00,https://www.hindustantimes.com/bollywood/akshay-kumar-zooms-through-the-streets-of-bangkok-as-he-shoots-for-rohit-shetty-s-sooryavanshi/story-la5LELALFwI0J853cmxkjN.html
Hindiustan Times,"Rajinikanth, Akshay Kumar’s 2.0 to release in China on July 12, retitled Robot 2.0: Resurgence ",2019-06-04,12:32:00,https://www.hindustantimes.com/regional-movies/rajinikanth-akshay-kumar-s-2-0-to-release-in-china-on-july-12-retitled-robot-2-0-resurgence/story-rS90yM0XdOyWGSqAo3ikwJ.html
Hindiustan Times,"Miley Cyrus groped by fan, reached out to husband Liam Hemsworth for help",2019-06-04,12:00:00,https://www.hindustantimes.com/hollywood/miley-cyrus-groped-by-fan-reached-out-to-husband-liam-hemsworth-for-help/story-hCQQKrzCUZ94WHolGkavfI.html
Hindiustan Times,"Sushmita Sen lost her passport before Miss Universe, organisers wanted to send Aishwarya Rai instead",2019-06-04,11:28:00,https://www.hindustantimes.com/bollywood/sushmita-sen-lost-her-passport-before-miss-universe-organisers-wanted-to-send-aishwarya-rai-instead/story-1ejlyBsFfyphYHxcq7z8fK.html
Hindiustan Times,Actor Arzoo Govitrikar granted restraining order against husband Siddharth Sabharwal,2019-06-04,11:15:00,https://www.hindustantimes.com/bollywood/actor-arzoo-govitrikar-granted-restraining-order-against-husband-siddharth-sabharwal/story-LeN7HvNZCR6h0ZboRLCM9M.html
Hindiustan Times,Delhi high court dismisses plea to stay release of Bharat: ‘Petition was premature and filed to draw mileage from movie’,2019-06-04,10:22:00,https://www.hindustantimes.com/bollywood/delhi-high-court-dismisses-plea-to-stay-release-of-bharat-petition-was-premature-and-filed-to-draw-mileage-from-movie/story-bL4zNYYPwrMnsm2mKXKqTN.html
Hindiustan Times,"Chernobyl review: An outright masterpiece, HBO delivers the best new show of 2019. 5 stars",2019-06-04,09:51:00,https://www.hindustantimes.com/tv/chernobyl-review-an-outright-masterpiece-hbo-delivers-the-best-new-show-of-2019-5-stars/story-XRf1htFIDND5RQMBioIgeN.html
Hindiustan Times,Ranveer Singh roots for Mumbai dance group on America’s Got Talent: ‘Gully boys dancing like Peshwas’,2019-06-04,09:35:00,https://www.hindustantimes.com/tv/ranveer-singh-roots-for-mumbai-dance-group-on-america-s-got-talent-gully-boys-dancing-like-peshwas/story-hMXZoa8VBbJ9XZL4PkMp2M.html
Hindiustan Times,"Aamir Khan’s daughter Ira Khan debuts first tattoo, look closer to see what it says. See pic",2019-06-04,09:26:00,https://www.hindustantimes.com/bollywood/aamir-khan-s-daughter-ira-khan-debuts-first-tattoo-look-closer-to-see-what-it-says-see-pic/story-7oi9t5t1ZQYuohVujlnrVJ.html
Hindiustan Times,"Priyanka Chopra, Sophie Turner cheer for Nick, Joe Jonas at Jonas Brothers docu Chasing Happiness premiere. See pics",2019-06-04,08:49:00,https://www.hindustantimes.com/tv/priyanka-chopra-sophie-turner-cheer-for-nick-joe-jonas-at-jonas-brothers-docu-chasing-happiness-premiere-see-pics/story-li5xamRvoB08Iibx4qITyJ.html
Hindiustan Times,"Shah Rukh Khan’s kids Aryan, Suhana had a blast at AbRam’s birthday party. See new pics",2019-06-04,08:46:00,https://www.hindustantimes.com/bollywood/shah-rukh-khan-s-kids-aryan-suhana-had-a-blast-at-abram-s-birthday-party-see-new-pics/story-HkDcj5277IzHMfARMymeLI.html
Hindiustan Times,Keanu Reeves in talks to make Marvel debut with Angelina Jolie starrer The Eternals,2019-06-03,21:26:00,https://www.hindustantimes.com/hollywood/keanu-reeves-in-talks-to-make-marvel-debut-with-angelina-jolie-starrer-the-eternals/story-JZvz4CcTD8tFHNMUd1ZeAP.html
Hindiustan Times,"Have you seen these pics of Hrithik Roshan, Janhvi Kapoor, Ajay Devgn with daughter Nysa and son Yug",2019-06-03,21:16:00,https://www.hindustantimes.com/bollywood/have-you-seen-these-pics-of-hrithik-roshan-janhvi-kapoor-ajay-devgn-with-daughter-nysa-and-son-yug/story-Dg6Ck3mt8wX1xb08kaEr2K.html
Hindiustan Times,"Shah Rukh Khan attends hairstylist’s sister’s wedding, leaves the guests thrilled. Watch video ",2019-06-04,08:55:00,https://www.hindustantimes.com/bollywood/shah-rukh-khan-attends-make-up-man-s-wedding-leaves-the-guests-thrilled-watch-video/story-fAJ9GYPJg3pYoBLS1DxEXM.html
Hindiustan Times,The support of the LGBTQIA+ community meant a lot: Priya Bapat,2019-06-03,19:27:00,https://www.hindustantimes.com/regional-movies/the-support-of-the-lgbtqia-community-meant-a-lot-priya-bapat/story-FA8kIqFJ7aXi04i0ghj8KO.html
Hindiustan Times,"Varun Dhawan, Shraddha Kapoor to recreate Guru Randhawa’s Lahore for Street Dancer 3D",2019-06-03,19:14:00,https://www.hindustantimes.com/bollywood/varun-dhawan-shraddha-kapoor-to-recreate-guru-randhawa-s-lahore-for-street-dancer-3d/story-bO7Y54roHygAsoYwAU5TWJ.html
Hindiustan Times,"Priyanka Chopra on political aspirations: ‘I would love to run for prime minister of India, Nick to run for US president’",2019-06-03,18:55:00,https://www.hindustantimes.com/bollywood/priyanka-chopra-on-political-aspirations-i-would-love-to-run-for-prime-minister-of-india-nick-to-run-for-us-president/story-ZBPTsQbxE1jKYJUm3OFTnJ.html
Hindiustan Times,Sushmita Sen reveals how her first interaction with boyfriend Rohman Shawl happened by mistake,2019-06-03,18:32:00,https://www.hindustantimes.com/bollywood/sushmita-sen-reveals-how-her-first-interaction-with-boyfriend-rohman-shawl-happened-by-mistake/story-XaOE8YvMq70yLz5fNDZ1IK.html
Hindiustan Times,Vikas Bahl cleared of #MeToo charges: Here’s what his industry colleagues have to say,2019-06-03,17:27:00,https://www.hindustantimes.com/bollywood/vikas-bahl-cleared-of-metoo-charges-here-s-what-his-industry-colleagues-have-to-say/story-nPRHGdsKDy0AJVQanaA8ZL.html
Hindiustan Times,"Kareena Kapoor shows her quirky side in magazine photo shoot, shares frame with Karan Johar, Diljit Dosanjh. See pics",2019-06-03,17:17:00,https://www.hindustantimes.com/bollywood/kareena-kapoor-shows-her-quirky-side-in-magazine-photo-shoot-shares-frame-with-karan-johar-diljit-dosanjh-see-pics/story-1hi2fiXxnXnD82rM391EhJ.html
Hindiustan Times,Salman Khan congratulates PM Modi and his cabinet,2019-06-03,16:58:00,https://www.hindustantimes.com/bollywood/salman-khan-congratulates-pm-modi-and-his-cabinet/story-BDeDiYd3CFGBvjpXvuqhEP.html
